epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2138.72,1.41963,5.18192,0.00684,0.43949,0.19753,0.15635,0.10447,1.35496,2.71308,0.00824,0.00333288,0.00333288,0.00333288
2,4169.89,1.50195,3.2584,0.00737,0.40044,0.27589,0.21842,0.14465,1.38401,2.36071,0.00856,0.0066597,0.0066597,0.0066597
3,6172.66,1.62918,3.26197,0.00838,0.40986,0.28286,0.21871,0.14465,1.42383,2.38487,0.0089,0.00996052,0.00996052,0.00996052
4,8169.68,1.70947,3.35484,0.00906,0.41703,0.28189,0.22096,0.14733,1.42691,2.34319,0.00895,0.00991232,0.00991232,0.00991232
5,10167.5,1.68074,3.193,0.0088,0.41269,0.29857,0.23488,0.15694,1.41121,2.2729,0.00875,0.00984449,0.00984449,0.00984449
6,12160.9,1.65774,3.12467,0.00861,0.40556,0.30947,0.24359,0.16489,1.38692,2.24007,0.00842,0.00975773,0.00975773,0.00975773
7,14184.2,1.63877,3.06764,0.00846,0.40502,0.31276,0.24896,0.17027,1.36432,2.21821,0.00811,0.00965239,0.00965239,0.00965239
8,16207.2,1.63182,3.01764,0.00834,0.40119,0.31568,0.25188,0.1734,1.35591,2.20101,0.00797,0.00952889,0.00952889,0.00952889
9,18230.7,1.61505,2.97716,0.00822,0.39939,0.31979,0.25478,0.17644,1.34801,2.18889,0.00788,0.00938772,0.00938772,0.00938772
10,20246.8,1.60745,2.95699,0.00813,0.40528,0.3223,0.25731,0.17887,1.3417,2.18218,0.00779,0.00922942,0.00922942,0.00922942
11,22260.4,1.59802,2.92256,0.00806,0.41393,0.32419,0.25955,0.18121,1.33327,2.17438,0.0077,0.00905463,0.00905463,0.00905463
