epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,957.387,1.56334,5.06752,0.00733,0.47341,0.16253,0.12591,0.08359,1.46989,2.8634,0.00859,0.00333243,0.00333243,0.00333243
2,1872,1.64302,3.37391,0.00794,0.40152,0.23852,0.18476,0.11803,1.54945,2.50407,0.00912,0.00666414,0.00666414,0.00666414
3,2767.18,1.76144,3.31527,0.00894,0.40317,0.22752,0.17314,0.10937,1.61082,2.56868,0.00998,0.00998933,0.00998933,0.00998933
4,3668.44,1.86752,3.39891,0.00993,0.3999,0.24396,0.1913,0.12261,1.59686,2.46495,0.00979,0.00997803,0.00997803,0.00997803
5,4568.75,1.83547,3.23555,0.00964,0.39092,0.26309,0.20859,0.13457,1.57088,2.36748,0.00949,0.00996097,0.00996097,0.00996097
6,5468.1,1.81938,3.15703,0.00945,0.39505,0.27575,0.21947,0.14386,1.54636,2.32218,0.00916,0.00993906,0.00993906,0.00993906
7,6371.36,1.80259,3.09667,0.00933,0.40022,0.28476,0.22727,0.15061,1.51908,2.28341,0.00884,0.00991232,0.00991232,0.00991232
8,7275.02,1.79211,3.05293,0.00923,0.39746,0.28907,0.23133,0.1536,1.51272,2.26646,0.00876,0.00988079,0.00988079,0.00988079
9,8178.94,1.78245,3.0251,0.00912,0.40358,0.29119,0.23423,0.15641,1.50464,2.25517,0.00866,0.00984449,0.00984449,0.00984449
10,9082.09,1.77683,2.9993,0.00905,0.4046,0.29612,0.23648,0.15827,1.49987,2.24576,0.00858,0.00980345,0.00980345,0.00980345
11,9984.65,1.76913,2.98308,0.00903,0.39962,0.29683,0.23813,0.15954,1.49616,2.23963,0.00853,0.00975773,0.00975773,0.00975773
12,10889.3,1.76764,2.95791,0.00893,0.39741,0.29762,0.24076,0.16149,1.49281,2.23282,0.0085,0.00970736,0.00970736,0.00970736
13,11789.5,1.76155,2.95411,0.00893,0.39857,0.30164,0.24217,0.16267,1.48932,2.22922,0.00846,0.00965239,0.00965239,0.00965239
14,12693.5,1.7593,2.93746,0.0089,0.39207,0.30473,0.24318,0.16357,1.48551,2.22292,0.00841,0.00959289,0.00959289,0.00959289
15,13604.2,1.75432,2.92553,0.00887,0.38737,0.30586,0.24457,0.16485,1.48234,2.21809,0.00837,0.00952889,0.00952889,0.00952889
16,14509,1.7522,2.91236,0.00884,0.37586,0.30631,0.24615,0.16625,1.47917,2.21181,0.00832,0.00946048,0.00946048,0.00946048
17,15414.8,1.74629,2.90566,0.00883,0.3777,0.30704,0.247,0.16712,1.47667,2.20475,0.0083,0.00938772,0.00938772,0.00938772
18,16319.9,1.74485,2.89723,0.00881,0.37106,0.308,0.24832,0.16834,1.47365,2.19767,0.00826,0.00931067,0.00931067,0.00931067
19,17221.3,1.74816,2.8839,0.00877,0.37548,0.31009,0.2497,0.16914,1.47215,2.19073,0.00824,0.00922942,0.00922942,0.00922942
20,18126.3,1.74153,2.87912,0.00874,0.37178,0.31208,0.25124,0.17038,1.47046,2.18517,0.00822,0.00914405,0.00914405,0.00914405
21,19028.2,1.74246,2.87027,0.00872,0.36948,0.31322,0.25284,0.17146,1.4671,2.18008,0.00818,0.00905463,0.00905463,0.00905463
22,19930.3,1.73651,2.85876,0.00871,0.36822,0.3144,0.25387,0.17249,1.46608,2.17372,0.00815,0.00896127,0.00896127,0.00896127
23,20831.5,1.73052,2.85685,0.00871,0.3676,0.31692,0.2559,0.17378,1.4628,2.16832,0.0081,0.00886404,0.00886404,0.00886404
24,21735.6,1.7345,2.84529,0.00867,0.3659,0.32033,0.2575,0.17487,1.46044,2.16251,0.00808,0.00876305,0.00876305,0.00876305
25,22639.7,1.7327,2.8406,0.00864,0.36925,0.3213,0.25824,0.17533,1.46038,2.15854,0.00808,0.00865839,0.00865839,0.00865839
26,23542.1,1.72611,2.83298,0.00865,0.36865,0.32417,0.25912,0.17616,1.45788,2.15436,0.00808,0.00855018,0.00855018,0.00855018
27,24445.7,1.72675,2.82005,0.0086,0.368,0.32664,0.26052,0.17722,1.4556,2.15,0.00807,0.00843851,0.00843851,0.00843851
28,25349.6,1.72036,2.8145,0.00858,0.36983,0.32575,0.26252,0.17861,1.45235,2.14452,0.00805,0.00832349,0.00832349,0.00832349
29,26251.6,1.72122,2.80468,0.00854,0.36888,0.32783,0.26389,0.17963,1.44975,2.13951,0.00801,0.00820525,0.00820525,0.00820525
30,27152.8,1.71512,2.80003,0.00855,0.36768,0.3306,0.2653,0.181,1.44757,2.13663,0.00799,0.00808389,0.00808389,0.00808389
31,28051.7,1.71397,2.78863,0.0085,0.36643,0.33052,0.26614,0.18157,1.44562,2.13355,0.00799,0.00795954,0.00795954,0.00795954
32,28951.6,1.71343,2.78111,0.0085,0.36846,0.33167,0.26701,0.18253,1.445,2.12766,0.00798,0.00783231,0.00783231,0.00783231
33,29852.4,1.70812,2.7744,0.00849,0.37012,0.33209,0.26793,0.18364,1.44331,2.12377,0.00796,0.00770234,0.00770234,0.00770234
34,30754.3,1.70606,2.76946,0.00844,0.37114,0.33074,0.26927,0.1846,1.44148,2.12112,0.00794,0.00756976,0.00756976,0.00756976
35,31655.3,1.69965,2.75956,0.00844,0.37171,0.33383,0.26989,0.18509,1.43907,2.11712,0.00793,0.00743468,0.00743468,0.00743468
36,32558.1,1.70435,2.74639,0.00839,0.36805,0.33394,0.27075,0.18559,1.43798,2.11396,0.00792,0.00729725,0.00729725,0.00729725
37,33458.8,1.69458,2.73734,0.00835,0.37123,0.33216,0.27166,0.18659,1.43581,2.11055,0.0079,0.00715761,0.00715761,0.00715761
38,34351.8,1.69445,2.7342,0.00835,0.38042,0.33137,0.27256,0.18713,1.43396,2.10745,0.00787,0.00701588,0.00701588,0.00701588
39,35240.2,1.68848,2.72672,0.00833,0.3726,0.33223,0.27321,0.18797,1.43266,2.10257,0.00785,0.00687222,0.00687222,0.00687222
40,36129.9,1.68662,2.70961,0.00827,0.35502,0.33692,0.27415,0.18885,1.43053,2.09764,0.00782,0.00672675,0.00672675,0.00672675
41,37044.8,1.68547,2.70271,0.00827,0.35856,0.33594,0.27555,0.18952,1.42881,2.09447,0.00781,0.00657963,0.00657963,0.00657963
42,37946,1.68057,2.68905,0.00821,0.3582,0.33901,0.27657,0.19048,1.42894,2.09037,0.00781,0.00643101,0.00643101,0.00643101
43,38858.8,1.6758,2.6833,0.0082,0.35357,0.3404,0.27707,0.1912,1.4261,2.08667,0.00779,0.00628101,0.00628101,0.00628101
